subject,isImage,isLong,result
1127,0,0,0.25
1127,1,0,0.15
1127,0,1,0.3
1127,1,1,0.45
0911,0,0,0.25
0911,1,0,0.15
0911,0,1,0.25
0911,1,1,0.2
1105,0,0,0.4
1105,1,0,0.4
1105,0,1,0.2
1105,1,1,0.6
1122,0,0,0.2
1122,1,0,0.15
1122,0,1,0.2
1122,1,1,0.45
0426,0,0,0.1
0426,1,0,0.45
0426,0,1,0.1
0426,1,1,0.4
0821,0,0,0.35
0821,1,0,0.4
0821,0,1,0.4
0821,1,1,0.45
0328,0,0,0.2
0328,1,0,0.3
0328,0,1,0.35
0328,1,1,0.3
0622,0,0,0.25
0622,1,0,0.2
0622,0,1,0.35
0622,1,1,0.2
0919,0,0,0.55
0919,1,0,0.35
0919,0,1,0.25
0919,1,1,0.45
0116,0,0,0.35
0116,1,0,0.15
0116,0,1,0.45
0116,1,1,0.25
1217,0,0,0.3
1217,1,0,0.25
1217,0,1,0.3
1217,1,1,0.45
0608,0,0,0.55
0608,1,0,0.25
0608,0,1,0.45
0608,1,1,0.55
1008,0,0,0.15
1008,1,0,0.5
1008,0,1,0.7
1008,1,1,0.3
1119,0,0,0.25
1119,1,0,0.35
1119,0,1,0.2
1119,1,1,0.4
0416,0,0,0.25
0416,1,0,0.25
0416,0,1,0.55
0416,1,1,0.4
